candidate_id	candidate_class	component	component_value	weight	weighted_contribution	rank
T2C0009	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	9
T2C0009	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	9
T2C0009	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	9
T2C0009	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	9
T2C0009	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	9
T2C0004	european_browsing_regime	extinct_partner_support	1.0	0.25	0.25	10
T2C0004	european_browsing_regime	modern_failure_support	0.5	0.2	0.1	10
T2C0004	european_browsing_regime	morphology_support	1.0	0.25	0.25	10
T2C0004	european_browsing_regime	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	10
T2C0004	european_browsing_regime	penalty_source_singleton	1.0	-0.1	-0.1	10
T2C0004	european_browsing_regime	provenance_completeness	1.0	0.1	0.1	10
T2C0004	european_browsing_regime	spatiotemporal_compatibility	0.5	0.2	0.1	10
T2C0003	north_american_temperate_megafauna_fruit	extinct_partner_support	1.0	0.25	0.25	11
T2C0003	north_american_temperate_megafauna_fruit	modern_failure_support	0.5	0.2	0.1	11
T2C0003	north_american_temperate_megafauna_fruit	morphology_support	1.0	0.25	0.25	11
T2C0003	north_american_temperate_megafauna_fruit	penalty_living_megafauna_ambiguous	1.0	-0.15	-0.15	11
T2C0003	north_american_temperate_megafauna_fruit	penalty_source_singleton	1.0	-0.1	-0.1	11
T2C0003	north_american_temperate_megafauna_fruit	provenance_completeness	1.0	0.1	0.1	11
T2C0003	north_american_temperate_megafauna_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	11
T2C0001	madagascar_elephant_bird_baobab	extinct_partner_support	1.0	0.25	0.25	12
T2C0001	madagascar_elephant_bird_baobab	modern_failure_support	0.0	0.2	0.0	12
T2C0001	madagascar_elephant_bird_baobab	morphology_support	1.0	0.25	0.25	12
T2C0001	madagascar_elephant_bird_baobab	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	12
T2C0001	madagascar_elephant_bird_baobab	penalty_source_singleton	1.0	-0.1	-0.1	12
T2C0001	madagascar_elephant_bird_baobab	provenance_completeness	1.0	0.1	0.1	12
T2C0001	madagascar_elephant_bird_baobab	spatiotemporal_compatibility	1.0	0.2	0.2	12
T2C0002	madagascar_elephant_bird_baobab	extinct_partner_support	1.0	0.25	0.25	13
T2C0002	madagascar_elephant_bird_baobab	modern_failure_support	0.0	0.2	0.0	13
T2C0002	madagascar_elephant_bird_baobab	morphology_support	1.0	0.25	0.25	13
T2C0002	madagascar_elephant_bird_baobab	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	13
T2C0002	madagascar_elephant_bird_baobab	penalty_source_singleton	1.0	-0.1	-0.1	13
T2C0002	madagascar_elephant_bird_baobab	provenance_completeness	1.0	0.1	0.1	13
T2C0002	madagascar_elephant_bird_baobab	spatiotemporal_compatibility	1.0	0.2	0.2	13
T2C0006	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	14
T2C0006	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	14
T2C0006	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	14
T2C0006	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	14
T2C0006	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	14
T2C0006	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	14
T2C0006	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.5	0.2	0.1	14
T2C0025	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	15
T2C0025	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	15
T2C0025	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	15
T2C0025	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	15
T2C0025	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	15
T2C0025	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	15
T2C0025	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	15
T2C0023	amazonian_palm_or_ground_sloth_fruit	extinct_partner_support	1.0	0.25	0.25	16
T2C0023	amazonian_palm_or_ground_sloth_fruit	modern_failure_support	0.0	0.2	0.0	16
T2C0023	amazonian_palm_or_ground_sloth_fruit	morphology_support	1.0	0.25	0.25	16
T2C0023	amazonian_palm_or_ground_sloth_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	16
T2C0023	amazonian_palm_or_ground_sloth_fruit	penalty_source_singleton	1.0	-0.1	-0.1	16
T2C0023	amazonian_palm_or_ground_sloth_fruit	provenance_completeness	1.0	0.1	0.1	16
T2C0023	amazonian_palm_or_ground_sloth_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	16
T2C0013	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	17
